domain,2025-05-31,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2026-01-03,2026-01-04,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01
audiosciencereview.com,42671,42160,42197,42266,42299,42401,42422,42381,42329,42227,42010,42035,41908,41807,41692,41458,41129,40802,40485,40141,40141,39637,39406,39406,39994,40109,40516,40837,41273,21246,21224,21545,21545,22064,22669,23447,24167,24699,25097,26053,27058,28225,29494,30993,32723,34697,35735,36891,38165,39654,41078,42677,44583,44441,44434,44416,44418
elperiodicodearagon.com,42672,42153,42161,42176,42209,42333,42388,42371,42390,42394,42270,42352,42330,42318,42286,42143,42035,42079,42129,42098,42098,42115,42113,42113,42092,41780,41801,41807,41925,39833,39854,39778,39778,39825,39862,39888,39916,39912,39973,40125,40286,40444,40528,40705,40815,40992,41066,41208,41326,41316,41300,41285,41124,41202,41154,41119,41047
baidupcs.com,42673,42425,42401,42439,42571,42678,42722,42698,42682,42551,42471,42541,42565,42533,42473,42307,42036,41925,41897,41775,41775,41628,41460,41460,41363,41228,41257,41259,41313,30819,30418,30088,30088,30114,30108,30095,30098,30057,30072,30501,30888,31349,31758,32237,32639,33185,33693,34224,34666,35252,35949,36087,36208,36169,36132,36151,36196
theeventscalendar.com,42674,42365,42434,42515,42580,42658,42721,42766,42811,42863,42820,42854,42829,42841,42847,42831,42717,42695,42620,42560,42560,42594,42595,42595,42686,42458,42545,42651,42856,40789,40716,40423,40423,40377,40320,40317,40295,40251,40302,40326,40380,40441,40481,40541,40552,40522,40584,40651,40781,40857,40884,40872,40740,40857,40848,40834,40751
handycasinos.net,42675,43282,43341,43374,43448,43577,43580,43648,43718,43793,43973,43829,43832,43864,43875,43909,43753,43670,43629,43642,43642,43472,43423,43423,43441,43136,43211,43330,43475,38760,38643,38487,38487,38450,38441,38419,38355,38284,38247,38224,38214,38171,38125,38095,38140,38092,38117,38137,38158,38194,38199,38102,38066,38028,37990,37902,37803
emailverification.info,42676,36871,36610,36514,36260,36154,36074,35834,35717,35595,35561,35186,34879,34667,34523,34358,34009,33560,33118,32873,32873,32325,32119,32119,32042,32026,31993,31941,31839,27827,27751,27527,27527,27474,27414,27361,27312,27262,27258,27290,27288,27287,27086,26955,26823,26803,26741,26727,26763,26743,26774,26783,26859,26927,26974,27021,27033
actorsaccess.com,42677,41716,41878,42019,42150,42418,42638,42783,42984,43120,43314,43346,43415,43551,43701,43862,43932,44049,44067,44165,44165,44368,44543,44543,45028,44896,44980,45080,45343,52541,52214,51224,51224,50982,50699,50415,50086,49827,49587,49310,49025,48864,48716,48559,48462,48408,48182,48029,47930,47834,47803,47898,47847,47771,47568,47556,47547
eurohoops.net,42678,42007,42026,42009,42011,42099,42156,42103,42040,41966,41738,41753,41723,41643,41569,41332,41159,41017,40889,40649,40649,40416,40323,40323,40224,39885,39869,39817,39803,40780,40878,41104,41104,41223,41284,41358,41481,41588,41739,41857,42023,42144,42219,42369,42455,42618,42771,42958,43030,43121,43183,43306,43551,43442,43488,43545,43583
xl.co.id,42679,41189,41356,41412,41448,41581,41727,41800,41809,41756,41579,41596,41694,41713,41734,41565,41379,41351,42259,40606,40606,44126,44030,44030,43391,42796,42623,44949,44770,51178,50864,51811,51811,51693,51778,51719,51671,51658,51100,50318,49710,49101,48461,47924,47515,47032,46540,45963,45524,45073,44608,44309,43987,43426,43031,42627,42323
lioresalzxz.com,42680,44666,44774,44965,45133,45226,45356,45519,45700,45883,46065,46068,46110,46195,46352,46569,46759,46824,46919,47061,47061,47246,47397,47397,47833,47693,48031,48466,48872,73349,73377,73773,73773,73923,74063,74300,74442,74721,75098,75354,75561,75748,75828,75897,76022,76169,76361,76354,76460,76481,76526,76594,76597,76631,76657,76734,76812
onlineathens.com,42681,41594,41680,41699,41730,41748,41766,41663,41517,41267,40913,40918,40795,40659,40448,40227,40092,40002,39918,39658,39658,39415,39299,39299,39394,39294,39471,39533,39580,44294,44299,43618,43618,43428,43264,43078,42904,42882,42951,42915,42884,42882,42842,42927,42996,43048,43161,43339,43340,43345,43329,43279,43400,43342,43461,43619,43806
wardersmonkess.shop,42682,43723,44564,45461,46508,47478,48253,49163,50210,51125,52178,53381,54585,55886,56928,58069,59300,60750,62412,64197,64197,68544,70516,70516,76014,79554,83410,88243,91510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
praxis.nl,42683,42362,42646,42900,43217,43558,43800,44049,44368,44457,44639,44469,44446,44475,44471,44455,44366,44281,44230,44243,44243,44137,44128,44128,44261,43984,44109,44214,44368,49076,49160,49480,49480,49611,49785,49914,50051,50274,50548,50430,50300,50155,50042,49961,49957,49804,49577,49383,49269,49145,49117,49109,49053,49025,48912,48897,48882
simplybe.co.uk,42684,43039,43233,43420,43641,43886,44033,44164,44304,44441,44570,44367,44339,44317,44248,44247,44111,43985,44025,43970,43970,43791,43754,43754,43607,43186,43147,43116,43123,36753,36872,37683,37683,37913,38149,38393,38585,38685,39176,39643,40115,40556,41054,41623,41982,42337,42660,43030,43257,43511,43734,43977,44360,44558,44889,45243,45612
mignews.com,42685,42669,42664,42674,42740,42837,42832,42813,42804,42822,42761,42750,42688,42658,42639,42559,42418,42323,42256,42134,42134,42042,41979,41979,41953,41713,41724,41738,41840,47919,47757,47174,47174,47038,46825,46570,46308,46108,45909,45734,45616,45553,45536,45633,45698,45786,45843,45778,45733,45707,45726,45859,45869,45719,45644,45673,45735
cqttech.com,42686,47124,47925,49018,49911,50706,51534,52401,53289,53439,53494,53592,53475,53393,53374,53461,53496,53605,53901,53906,53906,53287,53295,53295,53540,52744,52047,51358,50781,90611,90769,91685,91685,92065,92436,92737,93049,93443,93337,93231,93681,93623,93556,95375,95395,95453,95405,95483,95568,95709,95768,95803,95828,95731,95753,95808,95828
unelink.net,42687,42450,42053,41889,41841,42040,42050,42311,42278,42552,42131,42186,41297,40778,39911,39161,38218,38242,37937,38163,38163,38220,37949,37949,37642,38374,38539,38483,38306,22305,22498,22575,22575,22274,21971,21809,21875,21849,21856,21741,21633,21761,21917,22110,22192,22324,22478,22594,22594,22491,22728,22922,23004,23142,23378,23484,23638
mja.com.au,42688,44844,45317,45828,46137,46310,46573,46853,47251,47686,47979,48269,48333,48586,48801,49051,49347,49664,49821,49910,49910,50192,50432,50432,50964,50734,51008,51264,51496,54690,54499,54242,54242,54215,54166,54109,54065,54077,54134,54195,54240,54366,54619,54655,54605,54663,54639,54634,54654,54806,54838,54808,54825,54749,54735,54693,54515
cdnbay.com,42689,45170,44716,44693,44675,44722,44675,44507,44280,43819,43561,43271,43199,42712,42634,42335,41835,41564,41455,41727,41727,40797,41001,41001,40400,41369,41448,41929,41807,56639,56377,56159,56159,56094,56031,56094,56185,56370,56826,57278,57507,57564,57825,57813,57639,57395,57493,57526,57700,57814,57807,57598,57584,57695,57845,57865,57824
66law.cn,42690,42731,42815,42923,43173,43428,43583,43745,43908,43944,44022,43799,43723,43621,43534,43475,43216,43033,42984,42946,42946,42662,42527,42527,42452,42141,42134,42146,42185,35344,35283,35306,35306,35339,35373,35440,35454,35501,35573,35665,35636,35630,35715,35753,35837,35896,35940,35966,36016,35936,36043,35862,35752,35370,35011,34701,34483
mcpesrv.com,42691,50317,49949,49822,49880,49846,49852,49769,49655,48506,47840,47258,46481,45820,45288,44787,44083,43180,42611,41892,41892,40728,40194,40194,39055,39045,38601,38465,38249,49732,49244,48357,48357,48182,47946,47738,47574,47379,47553,47843,47996,48008,48023,47955,47875,48132,48354,48478,48573,48697,48709,48660,48742,48977,49041,49200,49378
katadata.co.id,42692,43551,43757,43993,44127,44206,44180,44202,44230,44194,44233,44077,44105,44138,44193,44194,44093,43990,43975,44023,44023,43941,43952,43952,44083,43686,43653,43660,43751,42726,42670,42536,42536,42529,42540,42571,42630,42642,42692,42671,42754,42777,42815,43031,43131,43179,43222,43358,43330,43317,43285,43267,43324,43118,43056,43040,43043
dynns.com,42693,42522,42537,42501,42503,42552,42552,42468,42397,42302,42121,42122,41991,41947,41924,41689,41529,41354,41247,41083,41083,40888,40794,40794,40801,40855,40897,40880,40924,44026,43955,43552,43552,43529,43509,43515,43486,43472,43501,43576,43672,43749,43832,43940,43978,44106,44179,44213,44133,44166,44174,44189,44301,44136,44146,44123,44098
myzaker.com,42694,42240,42292,42319,42334,42425,42470,42456,42482,42488,42352,42385,42362,42335,42316,42166,41981,41836,41757,41618,41618,41400,41268,41268,41174,40827,40811,40776,40785,37355,37472,38138,38138,38325,38554,38790,38979,39157,39345,39566,39784,40020,40259,40548,40877,41156,41270,41395,41578,41619,41661,41729,41655,41828,41796,41807,41814
cloudwards.net,42695,42911,42959,42989,43042,43111,43091,43097,43119,43116,43057,43036,43005,42974,42970,42900,42728,42613,42528,42435,42435,42293,42237,42237,42178,41860,41900,41926,42018,43849,43904,43748,43748,43762,43731,43723,43717,43636,43618,43616,43645,43708,43758,43869,43982,44125,44304,44471,44547,44616,44721,44861,45031,44950,44997,45064,45154
kantarmedia.com,42696,42404,42426,42463,42541,42662,42840,42901,42937,42955,42897,42961,42987,43011,43042,43054,42919,42872,42991,43012,43012,42978,42984,42984,43114,42851,42992,43113,43393,46217,46030,45264,45264,45127,44994,44841,44695,44503,44420,44390,44328,44256,44147,44127,44028,43974,44010,44013,43924,43875,43826,43861,44009,43852,43864,43876,43894
luckylandslots.com,42697,42602,42574,42626,42746,42845,42875,42869,42834,42856,42899,43057,42906,42834,42842,42827,42714,42747,42897,42788,42788,42549,42519,42519,42476,42633,42758,42688,42715,52050,51845,51842,51842,51872,51929,51963,51993,52014,52137,52328,52447,52565,52819,53013,53046,53119,53171,53249,53346,53606,53678,53766,53838,53884,53886,53932,53796
canarias7.es,42698,43094,43137,43143,43238,43329,43351,43406,43397,43377,43349,43382,43466,43567,43645,43744,43672,43679,43586,43543,43543,43365,43274,43274,43275,43010,43048,43095,43207,42200,42169,41836,41836,41731,41689,41637,41573,41522,41526,41594,41703,41762,41839,41979,41975,41949,41902,41861,41829,41663,41518,41389,41135,41108,40991,40849,40607
ingbank.pl,42699,38914,38978,38879,38946,39052,39158,39145,39096,38772,38941,39154,39454,41307,42587,44087,45635,45470,46112,46258,46258,45688,45623,45623,44938,44792,44635,43672,41851,78615,78190,81714,81714,82431,90137,100963,101673,102672,104083,102351,100715,99348,95624,93257,92426,91284,92599,93357,95564,93132,92271,91361,90534,90683,88031,87839,87793
cloudokyo.cloud,42700,41625,41675,41715,41824,42049,42227,42280,42383,42451,42333,42421,42457,42553,42547,42445,42249,42266,42149,42207,42207,42105,42033,42033,42135,42158,42378,42577,42870,94408,92407,81522,81522,78600,75845,73306,71181,69294,67601,65932,64603,63323,61867,60438,59016,57651,56416,55266,54136,53348,52506,51657,50858,50068,49184,48360,47649
stayfriends.de,42701,47435,47749,48200,48421,48807,49111,49477,49950,50389,50703,50729,50772,50654,50746,50791,50839,51001,51132,51075,51075,51010,51107,51107,51674,51646,52007,52585,53055,51993,52058,52397,52397,52672,53028,53480,53621,53593,53682,54302,54801,55368,55999,56462,56940,57446,57381,57229,57134,56995,56752,56523,56256,55938,55671,55414,54985
vgdynamic.info,42702,43486,43906,44358,44270,44141,44249,44401,44586,44844,45178,44810,44354,44012,44032,43956,43931,44009,43443,43264,43264,43349,43521,43521,44044,44236,44195,43963,44039,48883,48664,47653,47653,47140,46986,46840,46732,46888,46933,46607,46472,46529,46544,46657,46983,47362,47232,47153,47321,47391,47375,47542,47506,47054,46758,46902,47040
olapic-cdn.com,42703,36459,36537,36492,36504,36591,36644,36693,36587,36997,37370,37793,38330,38714,39007,39567,39941,40450,40646,41045,41045,42080,42564,42564,43803,44666,45394,46143,47070,61970,62104,62139,62139,62340,62626,62925,63154,63501,63866,64281,64831,65282,65429,65548,65656,65817,65976,66255,66357,66489,66533,66665,66833,67098,67414,67614,67846
auonlineslots.com,42704,43631,43717,43815,43937,44079,44125,44239,44355,44429,44554,44387,44366,44330,44311,44301,44187,44048,44017,43964,43964,43719,43628,43628,43578,43242,43273,43363,43453,50993,51013,51824,51824,52164,52491,52850,53235,53601,54072,54573,55103,55679,56335,56945,57430,57933,58522,59161,59991,60487,61039,61561,62113,62738,63319,63891,64532
seat61.com,42705,42368,42433,42451,42471,42567,42644,42654,42696,42718,42646,42685,42660,42691,42701,42637,42608,42631,42636,42666,42666,42663,42643,42643,42692,42421,42482,42557,42717,43496,43453,43158,43158,43129,43091,43083,43038,43031,43076,43083,43106,43165,43218,43362,43425,43426,43510,43634,43665,43689,43675,43706,43803,43633,43591,43570,43550
spline.design,42706,42375,42516,42489,42473,42708,42780,42795,42835,42925,42846,42828,42770,42784,42800,42787,42784,42647,42634,42530,42530,42468,42512,42512,42649,42516,42530,42597,42816,40223,40193,40048,40048,40054,40096,40121,40147,40164,40153,40090,40124,40218,40272,40375,40503,40551,40596,40625,40743,40822,40795,40779,40611,40661,40663,40624,40452
haodf.com,42707,43132,43336,43541,44043,44525,44909,45278,45721,46040,46325,46541,46583,46794,47028,47276,47501,47579,47229,46920,46920,46283,46030,46030,45682,45233,45137,45074,45053,37353,37289,37117,37117,36980,36857,36783,36701,36608,36584,36598,36543,36391,36279,36118,35976,35843,35862,35859,35870,35687,35715,35843,35967,35850,35758,35783,35831
timesofsandiego.com,42708,40654,40696,40674,40629,40589,40639,40621,40558,40284,40114,40039,40050,39994,39761,39615,39500,39361,39264,39088,39088,38929,38847,38847,38862,38623,38674,38665,38736,40044,39988,39717,39717,39698,39652,39627,39638,39613,39604,39629,39678,39701,39752,39772,39956,40022,40124,40215,40388,40557,40608,40563,40554,40693,40758,40765,40685
thedrinksbusiness.com,42709,41987,40681,40651,40632,40649,40678,40656,40613,40475,40372,40390,40385,40328,40151,40008,39923,39846,39749,39507,39507,39439,39376,39376,39418,39172,39235,39273,39312,44813,44789,44562,44562,44505,44458,44475,44491,44483,44511,44508,44514,44573,44623,44807,44915,45009,45152,45153,45129,45146,45164,45248,45267,45122,45047,44947,44873
totinternet.net,42710,46885,47517,48201,48115,47830,47903,48037,48689,48040,47297,46421,45530,44856,44112,43115,41633,41077,41037,40861,40861,41284,41413,41413,41608,41291,40603,39720,39105,108625,104497,77143,77143,72646,69601,67982,67284,67356,67229,67394,67728,68088,68245,67986,67671,67123,66838,66525,66198,64815,64732,64641,65031,65893,67119,67715,68830
ptengine.com,42711,37550,37607,37590,37632,37699,37785,37860,37802,38158,38533,39012,39587,40060,40411,40832,41280,41714,42241,42686,42686,43752,44391,44391,45484,46321,47029,47489,48389,54603,55344,58583,58583,58625,58659,58746,58802,58917,59106,59192,59351,59757,59880,59924,58790,57696,56660,55728,54808,53965,53083,52220,51399,50580,49813,48908,48214
usac.edu.gt,42712,42491,42496,42491,42527,42575,42646,42638,42636,42602,42469,42483,42435,42382,42331,42153,41954,41870,41815,41707,41707,41575,41387,41387,41375,41041,41101,41126,41162,42732,42710,42586,42586,42594,42587,42568,42576,42572,42615,42607,42656,42715,42754,42919,43024,43088,43168,43345,43345,43387,43440,43427,43577,43362,43318,43294,43241
bandainamco-am.co.jp,42713,42237,42274,42310,42358,42484,42543,42526,42540,42537,42411,42443,42386,42345,42336,42199,42053,41977,41909,41783,41783,41640,41535,41535,41475,41081,41107,41069,41102,41971,41993,41862,41862,41938,42003,42074,42130,42162,42242,42335,42458,42556,42658,42906,43031,43136,43294,43540,43616,43685,43706,43780,43971,43803,43820,43820,43833
unknowncheats.me,42714,42780,42883,42963,43095,43238,43246,43285,43311,43332,43346,43335,43308,43337,43371,43411,43269,43220,43224,43212,43212,43217,43224,43224,43261,43055,43132,43212,43368,42050,41847,40929,40929,40762,40609,40487,40338,40175,40095,39972,39870,39765,39642,39574,39563,39530,39540,39582,39636,39814,39841,39699,39756,39896,40045,40063,39952
wildapricot.com,42715,42635,42862,42879,42712,42739,42796,42873,43005,43235,43153,42874,42637,42599,42638,42720,42804,42750,42495,42334,42334,42492,42671,42671,42745,42456,42475,42474,42649,54000,53968,53279,53279,52973,52828,52659,52484,52182,51710,51041,50594,50409,50288,50057,50469,50508,50563,50715,51050,51380,51662,51979,52180,51889,51712,51555,51538
doujins.com,42716,42696,42686,42726,42839,42961,42920,42950,43028,43015,42921,42964,42979,43030,43054,43031,43101,43245,43485,43706,43706,43995,44139,44139,44651,44798,45132,45471,45928,52320,52132,50960,50960,50694,50377,50125,49882,49875,49945,50005,50088,50163,50362,50436,50585,50609,50572,50567,50708,50814,50965,50968,50984,51007,51034,50929,50946
ungleich.ch,42717,47442,47541,47735,47965,48140,48305,48508,48840,48987,49291,49776,50264,50424,50680,51608,51838,51901,52125,52373,52373,52314,52317,52317,52495,53184,54052,54515,54700,50597,50503,50586,50586,50745,50895,51122,51303,51537,51764,51888,51982,52140,52477,52720,53123,53579,53643,53638,53730,53981,54189,53933,53592,53562,53560,53500,53271
teslamotorsclub.com,42718,42993,43052,43085,43194,43296,43312,43364,43371,43432,43564,43458,43429,43426,43449,43519,43391,43230,43062,42887,42887,42416,42093,42093,41827,41456,41329,41214,41163,48827,48796,48781,48781,48796,48818,48876,48915,48940,49046,49111,49211,49341,49503,49673,49855,49921,49965,50005,50073,50154,50311,50330,50343,50330,50363,50189,50188
nytco.com,42719,41059,41225,41360,41461,41617,41793,41855,41940,42028,41993,42168,42215,42274,42381,42352,42361,43849,45465,45466,45466,47104,47193,47193,47289,47006,47100,47220,47408,47894,47741,47050,47050,46896,46717,46559,46416,46368,46273,46112,46006,45919,45846,45889,45881,45908,45911,45804,45742,45635,45547,45637,45631,45368,45182,45046,44905
server-cpanel.com,42720,42544,42464,42115,41982,42301,42695,43000,43008,43322,44155,44157,44142,44066,43925,43669,43240,43240,43071,43013,43013,43161,43346,43346,43480,44680,44814,44845,44432,36552,36332,36318,36318,36234,36220,36120,36041,36048,36105,36067,36067,36087,36299,36289,36418,36572,36624,36586,36615,36410,36369,36442,36564,36522,36401,36405,36469
vhx.com,42721,36917,37020,36963,36941,37063,37205,37310,37266,37346,37308,37358,37365,37482,37494,37495,37881,38158,38509,38810,38810,39675,40221,40221,41229,41842,42512,43232,44001,60826,60616,59815,59815,60004,60038,60133,60245,60256,60222,60226,60636,60896,61025,61163,61113,60969,60875,61127,61408,61483,61595,61498,61322,61265,61414,61510,61658
skakpushapi.com,42722,41198,41153,41245,41538,41700,41709,41631,41539,41378,41166,41355,41467,41524,41448,41125,40902,40808,40755,40558,40558,40231,40026,40026,40054,40075,40173,40279,40424,41941,41893,41711,41711,41737,41731,41679,41596,41445,41459,41514,41594,41634,41638,41668,41653,41634,41748,41893,42033,42116,42178,42236,42237,42389,42458,42521,42573
yovole.com,42723,42307,42112,42197,42357,41998,42080,42281,42673,42704,42273,42667,42194,41769,41170,40406,39558,39214,39349,39071,39071,39027,38647,38647,38626,39497,39716,40021,40021,35632,35752,36420,36420,36478,36468,36714,36844,36716,36775,36697,36482,36621,37076,37376,37537,37731,37751,37547,37389,37323,37208,37507,37504,37760,38098,38329,38589
settrade.com,42724,42753,42979,43007,42970,43084,43157,43264,43334,43522,43592,43285,43252,43355,43336,43366,43306,43175,42987,42773,42773,42434,42340,42340,42317,41909,41869,41964,42108,44075,44231,44044,44044,44048,44028,43972,44022,44128,44110,44045,44066,44057,44041,44162,44332,44346,44288,44303,44261,44303,44412,44593,44631,44277,44203,44116,44069
tv4play.se,42725,42680,42696,42755,42838,42960,42977,43017,43070,43073,42999,43005,43035,43028,43045,43013,42862,42777,42754,42671,42671,42478,42433,42433,43142,43380,43841,44400,45039,46357,46173,45387,45387,45215,45038,44848,44578,44261,44072,43933,43773,43665,43514,43534,43491,43508,43576,43657,43637,43616,43589,43562,43682,43505,43480,43493,43502
karatekid.movie,42726,48987,50172,51785,53092,53702,54660,55630,56612,58114,59809,62109,63858,67134,69673,73057,77149,82757,93766,101242,101242,110759,113862,113862,124735,124883,126515,129118,131830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instapagemetrics.com,42727,39400,39583,39615,39643,39702,39803,39957,40008,39961,39897,39901,39986,39986,39808,39704,40163,40571,40937,41284,41284,42215,42822,42822,43980,44523,45127,45603,46485,73856,73816,73402,73402,73334,73309,73261,73265,73286,73251,73232,73260,73256,73224,73194,73288,73293,73354,73311,73308,73324,73196,73245,73284,73291,73253,73206,73176
magna.com,42728,42406,42463,42561,42560,42490,42492,42393,42382,42491,42421,42386,42275,42188,42152,41935,41813,41674,41610,41434,41434,41209,41236,41236,41203,40993,41003,41035,41064,33644,33672,33651,33651,33660,33666,33675,33714,33768,33728,33747,33813,33855,33904,33984,34020,34146,34147,34103,33940,34011,34088,34217,34117,34237,34222,34210,34280
facebook.com.br,42729,42063,42641,43224,43874,44563,45115,45727,46373,46478,46494,46490,46272,46204,46201,46212,46242,46071,46016,45985,45985,45866,45824,45824,45823,45549,45594,45689,45861,45632,45445,44548,44548,44287,44046,43792,43572,43315,43126,42953,42801,42672,42513,42449,42395,42363,42401,42467,42477,42449,42422,42442,42382,42393,42355,42312,42278
assam.gov.in,42730,41046,41081,41145,41253,41418,41631,41767,41871,41861,41733,41846,41813,41581,41656,41549,41618,41634,41704,41722,41722,41807,41827,41827,41805,41516,41513,41624,41771,38154,38116,37980,37980,38006,38018,38021,38022,37976,36536,35330,34245,33225,32366,31514,30659,29747,28930,28232,27535,26844,26232,25641,25116,24590,24105,23411,22597
